eb_n0_db,no_isi,tau=1.0000,tau=0.6667,tau=0.5000
-0.5,0.097014925,0.10569087,0.17164179,0.2203095
-0.25,0.083920886,0.088052834,0.153317,0.20932149
0.0,0.060159326,0.058740042,0.14094405,0.19858529
0.25,0.033009798,0.034348961,0.12287107,0.19050453
0.5,0.011400055,0.012121143,0.10913607,0.18174847
0.75,0.00030057767,0.00033784957,0.087011263,0.16633092
1.0,0,1.8313341e-05,0.068446113,0.15127964
1.25,3.6626683e-06,0,0.051632177,0.13478619
1.5,0,0,0.033948356,0.11916262
1.75,0,0,0.025924824,0.10753365
2.0,2.7470012e-06,0,0.015074169,0.091406465
2.25,0,0,0.011125355,0.0853974
2.5,0,0,0.0053680982,0.065859354
2.75,0,0,0.0035939932,0.050647834
3.0,0,0,0.0012189818,0.044970699
3.25,0,0,0.0022433843,0.035882703
3.5,0,0,0.00030971092,0.029587492
