eb_n0_db,no_isi,tau=0.6667,tau=0.8000
6.0,0.00043859649,0.13616667,0.013041667
6.5,0.00013,0.119125,0.0042708333
7.0,5.6666667e-05,0.10175,0.0058611111
7.5,1.6666667e-06,0.092791667,0.0041666667
8.0,0,0.081708333,0.0022777778
8.5,1.6666667e-06,0.088333333,0.0018508772
9.0,0,0.080458333,0.0006572327
9.5,0,0.085708333,0.00097685185
10.0,0,0.055916667,0.00024333333
10.5,0,0.063041667,0.00021166667
11.0,0,0.052375,0.000115
11.5,0,0.0505,6.1666667e-05
12.0,0,0.05075,0
12.5,0,0.050666667,1e-05
13.0,0,0.051416667,2.5e-05
13.5,0,0.050916667,3.3333333e-05
14.0,0,0.051333333,0
14.5,0,0.065958333,2e-05
15.0,0,0.07575,1.1666667e-05
15.5,0,0.070916667,0
16.0,0,0.080791667,0
